Company,Iteration,Max_Value_Change,Converged
BAJAc1_NS,61,1.6796677676097441e-06,False
BAJAc1_NS,62,1.595515224152473e-06,False
BAJAc1_NS,63,1.5155955609317357e-06,False
BAJAc1_NS,64,1.4396933575579977e-06,False
BAJAc1_NS,65,1.367604530703656e-06,False
BAJAc1_NS,66,1.2991356821345432e-06,False
BAJAc1_NS,67,1.2341034921932448e-06,False
BAJAc1_NS,68,1.1723341545093148e-06,False
BAJAc1_NS,69,1.1136628482251616e-06,False
BAJAc1_NS,70,1.0579332444556186e-06,False
BAJAc1_NS,71,1.0049970440859438e-06,False
BAJAc1_NS,72,9.547135443302348e-07,True
BAJE,1,6.617972952830427e-06,False
BAJE,2,3.787044916778194e-06,False
BAJE,3,2.503069179582253e-06,False
BAJE,4,2.029607573028359e-06,False
BAJE,5,1.7675017594376117e-06,False
BAJE,6,1.5974086283694213e-06,False
BAJE,7,1.4752316853351255e-06,False
BAJE,8,1.3791649735669693e-06,False
BAJE,9,1.298222459287709e-06,False
BAJE,10,1.228451363310374e-06,False
BAJE,11,1.164175407432905e-06,False
BAJE,12,1.1044001167634841e-06,False
BAJE,13,1.0484931112936573e-06,False
BAJE,14,9.952991208879063e-07,True
BJFN,1,1.5189897139312097e-05,False
BJFN,2,1.2279761905349557e-05,False
BJFN,3,1.0175636396816538e-05,False
BJFN,4,8.597060391807555e-06,False
BJFN,5,7.379739354664187e-06,False
BJFN,6,6.4214224563764725e-06,False
BJFN,7,5.652619073149168e-06,False
BJFN,8,5.025614348537822e-06,False
BJFN,9,4.506798971849117e-06,False
BJFN,10,4.071938476766726e-06,False
BJFN,11,3.703189874709273e-06,False
BJFN,12,3.3871739792125876e-06,False
BJFN,13,3.1136991006602377e-06,False
BJFN,14,2.8748956385421043e-06,False
BJFN,15,2.664615820569533e-06,False
BJFN,16,2.4780084583687022e-06,False
BJFN,17,2.311211814675241e-06,False
BJFN,18,2.1611278908760393e-06,False
BJFN,19,2.0252539778856332e-06,False
BJFN,20,1.901555237256069e-06,False
BJFN,21,1.7883671866404178e-06,False
BJFN,22,1.6843203189837325e-06,False
BJFN,23,1.588281330695528e-06,False
BJFN,24,1.499306964951254e-06,False
BJFN,25,1.4166075383093484e-06,False
BJFN,26,1.339517968154379e-06,False
BJFN,27,1.267474655740385e-06,False
BJFN,28,1.1999969707126505e-06,False
BJFN,29,1.136672371738741e-06,False
BJFN,30,1.0771444138502257e-06,False
BJFN,31,1.021103056533172e-06,False
BJFN,32,9.6827681158576e-07,True
BJFS,1,3.102264054169916e-05,False
BJFS,2,2.6584978269038057e-05,False
BJFS,3,2.2836341522496863e-05,False
BJFS,4,1.9724797107396273e-05,False
BJFS,5,1.715243359449302e-05,False
BJFS,6,1.5022652426152985e-05,False
BJFS,7,1.3251708248179978e-05,False
BJFS,8,1.1770604183504582e-05,False
BJFS,9,1.0523735975910445e-05,False
BJFS,10,9.466704794063084e-06,False
BJFS,11,8.564164343313312e-06,False
BJFS,12,7.787967137259613e-06,False
BJFS,13,7.115652023767445e-06,False
BJFS,14,6.529239978157048e-06,False
BJFS,15,6.014286192549247e-06,False
BJFS,16,5.559137574952114e-06,False
BJFS,17,5.154352003527941e-06,False
BJFS,18,4.792243879571558e-06,False
BJFS,19,4.4665279238492565e-06,False
BJFS,20,4.172039309578284e-06,False
BJFS,21,3.9045131413652234e-06,False
BJFS,22,3.6604101433005093e-06,False
BJFS,23,3.4367784086095413e-06,False
BJFS,24,3.2311433684698704e-06,False
BJFS,25,3.0414199103247328e-06,False
BJFS,26,2.8658419379761857e-06,False
BJFS,27,2.702905712519566e-06,False
BJFS,28,2.5513241187760313e-06,False
BJFS,29,2.409989623125699e-06,False
BJFS,30,2.2779441689305038e-06,False
BJFS,31,2.154354628114668e-06,False
BJFS,32,2.0384927171031167e-06,False
BJFS,33,1.9297185113120404e-06,False
BJFS,34,1.8274668693322917e-06,False
BJFS,35,1.7312362169560848e-06,False
BJFS,36,1.6405792507638009e-06,False
BJFS,37,1.5550952076467603e-06,False
BJFS,38,1.4744234153999162e-06,False
BJFS,39,1.3982378942430443e-06,False
BJFS,40,1.3262428228272825e-06,False
BJFS,41,1.258168717272975e-06,False
BJFS,42,1.193769199892068e-06,False
BJFS,43,1.1328182568720786e-06,False
BJFS,44,1.075107902484486e-06,False
BJFS,45,1.020446182172115e-06,False
BJFS,46,9.686554588812985e-07,True
BRTI,1,1.5625221490290847e-05,False
BRTI,2,1.1709540409053948e-05,False
BRTI,3,1.0321762541309608e-05,False
BRTI,4,9.270235704388364e-06,False
BRTI,5,8.373316429397214e-06,False
BRTI,6,7.6127132813885986e-06,False
BRTI,7,6.964653608580477e-06,False
BRTI,8,6.407336782011365e-06,False
BRTI,9,5.9228716776955345e-06,False
BRTI,10,5.507601638046918e-06,False
BRTI,11,5.136867929565023e-06,False
BRTI,12,4.798044909258865e-06,False
BRTI,13,4.489244321118584e-06,False
BRTI,14,4.207697946036817e-06,False
BRTI,15,3.9504412201084375e-06,False
BRTI,16,3.714646461874143e-06,False
BRTI,17,3.4992284270053534e-06,False
BRTI,18,3.3007786591392543e-06,False
BRTI,19,3.1164625339096804e-06,False
BRTI,20,2.944783747611438e-06,False
BRTI,21,2.784477877357388e-06,False
BRTI,22,2.634467131513147e-06,False
BRTI,23,2.4938252366262176e-06,False
BRTI,24,2.3617499285109866e-06,False
BRTI,25,2.237541212556717e-06,False
BRTI,26,2.1205840473261677e-06,False
BRTI,27,2.0103344520838555e-06,False
BRTI,28,1.90647595566799e-06,False
BRTI,29,1.8085106737148295e-06,False
BRTI,30,1.7158314039784656e-06,False
BRTI,31,1.6281201923632968e-06,False
BRTI,32,1.5450815342563833e-06,False
BRTI,33,1.4664407031883547e-06,False
